,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
TPI,0.8956152368460805,0.34568934840318377,"[(0.9986329107868716, 1), (0.9968747463404358, 1), (0.996874746340458, 1), (0.9968747463399489, 1), (0.994944878869472, 1), (0.994434137703157, 1), (0.9968747461342017, 1), (0.9949448788774752, 1), (0.9968747463407347, 1), (0.9968747459884092, 1), (0.9968747463426403, 1), (0.9968747463395712, 1), (0.9968747463404398, 1), (0.9949448788805494, 1), (1.0, 1), (0.9891251255787251, 1), (0.9949448788772787, 1), (0.9968747463403321, 1), (0.994944878877427, 1), (0.9949448788775194, 1), (0.9949448788694245, 1), (0.9968747463403892, 1), (0.9968747463403077, 1), (0.9968747463400355, 1), (0.9968747463404614, 1), (0.9968747463405637, 1), (0.9982505167823633, 1), (0.9949448788775958, 1), (0.9072954662869391, 1), (0.9968747463404927, 1), (0.9949448788773091, 1), (0.9949448788773964, 1), (0.9949448788771561, 1), (0.9968747463383311, 1), (0.996874746340325, 1), (0.9968747463316628, 1), (0.9968747463426165, 1), (0.9986329107944228, 1), (0.9891251255869292, 1), (0.9986329107943591, 1), (0.9986329107957744, 1), (0.9968747463406481, 1), (0.9968747463403088, 1), (0.9986329107946342, 1), (0.9968747463402478, 1), (0.9968747457338186, 1), (0.6408707433934361, 1), (0.9949448788774183, 1), (0.9968747463404651, 1), (0.9968747463402735, 1), (0.9968747463402422, 1), (0.9968747463401147, 1), (0.9949448788773273, 1), (0.9968747463404727, 1), (0.9968747463406274, 1), (0.9963640051737822, 1), (0.9968747463402711, 1), (0.994944878878803, 1), (0.0, 1), (0.9986329107968729, 1), (0.9968747463402295, 1), (0.994944878880475, 1), (0.9968747463404711, 1), (0.9949448788774781, 1), (0.9949448788774945, 1), (0.9968747463424575, 1), (0.9333629416345016, 1), (0.9968747463419424, 1), (0.9968747463422966, 1), (0.9999999999997048, 1), (0.9968747463403967, 1), (0.9968747463405082, 1), (0.996364005174477, 1), (0.9968747463404123, 1), (0.9949448788551759, 1), (0.9871952581235078, 1), (0.9963640051734889, 1), (0.9968747463405042, 1), (0.9968747463421314, 1), (0.9949448788777607, 1), (0.9968747463404645, 1), (0.9968747463403994, 1), (0.9968747463404452, 1), (0.6408707433850286, 1), (0.9986329107968289, 1), (0.9968747463401321, 1), (0.9968747463403366, 1), (0.9968747463404098, 1), (0.9963640051726447, 1), (0.9968747463416979, 1), (0.9986329107943023, 1), (0.9968747463416637, 1), (0.9968747463416191, 1), (0.9949448788787173, 1), (0.9963640051724846, 1), (0.9986329107966277, 1), (0.9968747463433715, 1), (0.9968747463404787, 1), (0.9949448788785747, 1), (0.9968747463324393, 1), (0.9968747463400808, 1), (0.9968747463415216, 1), (0.9968747463404418, 1), (0.9891251255869472, 1), (0.9968747463404383, 1), (0.9949448788774914, 1), (0.9968747462592943, 1), (0.9986329107943505, 1), (0.9968747463405402, 1), (0.996874746343506, 1), (0.9968747463423152, 1), (0.9949448788893597, 1), (0.9949448788795084, 1), (0.998632910794523, 1), (0.996874746340222, 1), (0.9968747463425794, 1), (0.9949448788773997, 1), (0.9949448788774685, 1), (0.9986329107945121, 1), (0.9968747463404254, 1), (0.9968747463404938, 1), (0.9968747463406454, 1), (0.9968747463405333, 1), (0.9986329107945205, 1), (0.426186870557688, 1), (0.9968747463405642, 1), (0.9968747463393065, 1), (0.9891251255868864, 1), (0.9949448788776826, 1), (0.9968747463166591, 1), (0.9968747463396538, 1), (0.99687474634047, 1), (0.9944341377095706, 1), (0.9968747463422704, 1)]",Glycolysis/Gluconeogenesis,triose-phosphate isomerase,['Rv1438'],dhap_c <=> g3p_c,
CYSO_II,0.8897658477074095,0.3472640285064328,"[(1.138670631411886e-16, 95), (0.9999999951013862, 19), (0.0, 17), (2.277341262823772e-16, 2), (1.0, 1)]",Cysteine and methionine metabolism,CysO Sulfuration by MoeZ,['Rv3206c'],cysOamp_c + h2s_c --> amp_c + cysOsh_c,
CYSO_I,0.8897658477074094,0.3472640285064328,"[(0.0, 98), (0.9999999951013863, 19), (1.2222337984088616e-16, 16), (1.0, 1)]",Cysteine and methionine metabolism,CysO Adenylation by MoeZ,['Rv3206c'],atp_c + cysO_c + h2o_c --> cysOamp_c + h_c + ppi_c,
CYSM_I,0.8897658477074022,0.3472640285064408,"[(1.1386706314118863e-16, 95), (0.9999999951013864, 19), (0.0, 17), (2.2773412628237727e-16, 2), (1.0, 1)]",Cysteine and methionine metabolism,CysO-dependent L-cystein biosynthesis CysM,['Rv1336'],cysOsh_c + pser__L_c --> cysOcys__L_c + pi_c,
CYSM_II,0.8897658463292977,0.34726402887858154,"[(0.0, 112), (1.0, 20), (1.4585591723209077e-16, 2)]",Cysteine and methionine metabolism,CysO-dependent L-cystein biosynthesis Mec+,['Rv1334'],cysOcys__L_c --> cysO_c + cys__L_c,['Rv1334']
ECHA191,0.8894434904176733,0.34735109294730127,"[(0.5471151847048769, 52), (0.8561663175402121, 32), (1.0, 17), (0.5471151847048771, 15), (0.8561663175402122, 8), (0.7016407511225446, 8), (3.3306690738754696e-16, 1), (0.0, 1)]",Cholesterol degradation,ECHA191,"['Rv3516', 'Rv3538']",cholenec8coa_c + h2o_c <=> hcholc8coa_c,['Rv3516']
ALDD19x,0.8865702564293533,0.34812843504152535,"[(0.010202044126031408, 131), (0.1714066329367566, 1), (1.0, 1), (0.0, 1)]","Tyrosine, Tryptophan, and Phenylalanine Metabolism",,['Rv2858c'],h2o_c + nad_c + pacald_c --> 2.0 h_c + nadh_c + pac_c,
EX_pac,0.8849169146465636,0.3485768186177356,"[(0.00953951273832452, 131), (0.1707629244133179, 1), (0.9999999999999999, 1), (0.0, 1)]",Exchange,,[],pac_e --> ,
PACt2r,0.8849169146465199,0.3485768186177518,"[(0.9904604872616753, 131), (0.829237075586682, 1), (0.0, 1), (0.9999999999999999, 1)]",Transport,PACt2r,['none'],h_e + pac_e <=> h_c + pac_c,
PEAMNO,0.8816072993709964,0.349476758204353,"[(0.008204908097846051, 131), (0.1694759107101909, 1), (0.9999999999999999, 1), (0.0, 1)]","Tyrosine, Tryptophan, and Phenylalanine Metabolism",PEAMNO,['none'],h2o_c + o2_c + peamn_c --> h2o2_c + nh4_c + pacald_c,
GAPD,0.8547706767120805,0.35689329159883076,"[(0.9898714061393847, 2), (0.9968546574352342, 1), (0.9898714061393488, 1), (0.9898714061394123, 1), (0.9898714061383376, 1), (0.9822061678299661, 1), (0.980177555585704, 1), (0.9898714056270914, 1), (0.9822061678484846, 1), (0.989871406139939, 1), (0.98987140526516, 1), (0.9898714061445215, 1), (0.9898714061460656, 1), (0.9898714061355585, 1), (0.9822061678555487, 1), (1.0, 1), (0.9821762287469484, 1), (0.9822061678478833, 1), (0.989871406139101, 1), (0.9822061678485832, 1), (0.9822061678485525, 1), (0.982206167829879, 1), (0.9898714061391019, 1), (0.9898714061383487, 1), (0.9898714061393514, 1), (0.9898714061396965, 1), (0.9930512296794314, 1), (0.9822061678486791, 1), (0.8951725183289012, 1), (0.9898714061394531, 1), (0.9822061678483918, 1), (0.9822061678483056, 1), (0.9822061678476248, 1), (0.9898714061398723, 1), (0.9898714061390779, 1), (0.9898714061194012, 1), (0.9898714061442502, 1), (0.996854657452305, 1), (0.9821762287658378, 1), (0.9968546574522255, 1), (0.9968546574553692, 1), (0.9898714061398581, 1), (0.9898714061390481, 1), (0.9968546574527606, 1), (0.9898714061388456, 1), (0.9898714049026811, 1), (0.636368436689899, 1), (0.9822061678483207, 1), (0.9898714061394225, 1), (0.9898714061389238, 1), (0.9898714061388283, 1), (0.9898714061386014, 1), (0.98220616784816, 1), (0.9898714061393954, 1), (0.9898714061379126, 1), (0.9878427939023982, 1), (0.9898714061389251, 1), (0.9822061678515661, 1), (0.0, 1), (0.9968546574579373, 1), (0.9898714061389677, 1), (0.9822061678553986, 1), (0.9898714061394696, 1), (0.9822061678484793, 1), (0.9822061678485374, 1), (0.9898714061440632, 1), (0.9210568619444781, 1), (0.9898714061429534, 1), (0.9898714061436582, 1), (0.9999999999993845, 1), (0.9898714061393439, 1), (0.9898714061395895, 1), (0.9878427939004459, 1), (0.9898714061393266, 1), (0.9822061678493363, 1), (0.9745109904738185, 1), (0.9878427939015539, 1), (0.9898714061395957, 1), (0.9898714061432656, 1), (0.982206167849117, 1), (0.9898714061393914, 1), (0.9898714061392879, 1), (0.9898714061393323, 1), (0.6363684366932687, 1), (0.9968546574578228, 1), (0.9898714061385334, 1), (0.9898714061391845, 1), (0.989871406139228, 1), (0.987842793899437, 1), (0.9898714061427678, 1), (0.9968546574520603, 1), (0.9898714061421581, 1), (0.9898714061420701, 1), (0.9822061678513361, 1), (0.9878427938991368, 1), (0.9968546574573711, 1), (0.9898714061462024, 1), (0.9898714061390863, 1), (0.982206167851047, 1), (0.9898714061209195, 1), (0.9898714061385192, 1), (0.9898714061419525, 1), (0.9898714061410989, 1), (0.9821762287654843, 1), (0.989871406139355, 1), (0.9822061678484131, 1), (0.9898714059776297, 1), (0.9968546574521278, 1), (0.9898714061395477, 1), (0.9898714061465563, 1), (0.9898714061435716, 1), (0.9822061678588274, 1), (0.9822061678532044, 1), (0.9968546574524613, 1), (0.9898714061387679, 1), (0.9898714061443932, 1), (0.9822061678482576, 1), (0.9822061678484064, 1), (0.9968546574525146, 1), (0.9898714061393568, 1), (0.9898714061394775, 1), (0.9898714061397942, 1), (0.9898714061396872, 1), (0.9968546574524759, 1), (0.41865299843529824, 1), (0.989871406139641, 1), (0.9898714061361473, 1), (0.9821762287657485, 1), (0.982206167849057, 1), (0.9898714060833638, 1), (0.9898714061390108, 1), (0.9801775556082251, 1), (0.9898714061435419, 1)]",Glycolysis/Gluconeogenesis,glyceraldehyde-3-phosphate dehydrogenase,['Rv1436'],g3p_c + nad_c + pi_c <=> 13dpg_c + h_c + nadh_c,
PGK,0.8547706767110608,0.3568932915991181,"[(0.01012859386061482, 2), (0.0031453425647658406, 1), (0.010128593860650792, 1), (0.010128593860587731, 1), (0.010128593861661983, 1), (0.01779383217003394, 1), (0.019822444414295592, 1), (0.01012859437290814, 1), (0.01779383215151542, 1), (0.010128593860060597, 1), (0.010128594734840846, 1), (0.010128593855478485, 1), (0.010128593853934387, 1), (0.010128593864441537, 1), (0.017793832144451738, 1), (0.0, 1), (0.017823771253051124, 1), (0.01779383215211716, 1), (0.010128593860899038, 1), (0.01779383215141639, 1), (0.017793832151446587, 1), (0.017793832170120538, 1), (0.010128593860898594, 1), (0.01012859386165088, 1), (0.010128593860648127, 1), (0.01012859386030307, 1), (0.006948770320569064, 1), (0.01779383215132091, 1), (0.10482748167109923, 1), (0.010128593860546875, 1), (0.01779383215160779, 1), (0.01779383215169439, 1), (0.017793832152375177, 1), (0.010128593860127655, 1), (0.010128593860921686, 1), (0.010128593880598835, 1), (0.01012859385574938, 1), (0.0031453425476906105, 1), (0.017823771234162678, 1), (0.0031453425477745434, 1), (0.003145342544630836, 1), (0.010128593860141422, 1), (0.010128593860952328, 1), (0.003145342547239416, 1), (0.010128593861154389, 1), (0.010128595097318449, 1), (0.36363156331010105, 1), (0.01779383215167929, 1), (0.010128593860577073, 1), (0.010128593861076673, 1), (0.010128593861172153, 1), (0.010128593861398638, 1), (0.01779383215184005, 1), (0.010128593860604607, 1), (0.010128593862086976, 1), (0.012157206097602291, 1), (0.010128593861074453, 1), (0.017793832148433886, 1), (1.0000000000000002, 1), (0.003145342542062668, 1), (0.01012859386103182, 1), (0.017793832144600952, 1), (0.01012859386053, 1), (0.017793832151521194, 1), (0.017793832151463018, 1), (0.010128593855936785, 1), (0.07894313805552144, 1), (0.010128593857047008, 1), (0.01012859385634135, 1), (6.159517340620368e-13, 1), (0.010128593860656121, 1), (0.01012859386041054, 1), (0.012157206099554507, 1), (0.010128593860672996, 1), (0.017793832150663214, 1), (0.025489009526181494, 1), (0.012157206098445617, 1), (0.010128593860403878, 1), (0.01012859385673437, 1), (0.017793832150883038, 1), (0.010128593860608603, 1), (0.010128593860711632, 1), (0.010128593860667223, 1), (0.3636315633067313, 1), (0.003145342542176799, 1), (0.01012859386146614, 1), (0.010128593860815105, 1), (0.010128593860772028, 1), (0.012157206100563034, 1), (0.010128593857232193, 1), (0.0031453425479397445, 1), (0.010128593857841484, 1), (0.010128593857929857, 1), (0.017793832148663924, 1), (0.012157206100863238, 1), (0.0031453425426293258, 1), (0.010128593853797607, 1), (0.010128593860913249, 1), (0.017793832148953026, 1), (0.01012859387908005, 1), (0.010128593861422175, 1), (0.010128593858047541, 1), (0.010128593858902413, 1), (0.01782377123451573, 1), (0.010128593860645019, 1), (0.017793832151587363, 1), (0.01012859402236943, 1), (0.003145342547872687, 1), (0.01012859386045184, 1), (0.010128593853443668, 1), (0.010128593856427948, 1), (0.017793832141172583, 1), (0.017793832146795197, 1), (0.003145342547538732, 1), (0.010128593861232105, 1), (0.010128593855606383, 1), (0.017793832151741906, 1), (0.017793832151593136, 1), (0.0031453425474858854, 1), (0.010128593860642798, 1), (0.010128593860522894, 1), (0.010128593860205815, 1), (0.010128593860312396, 1), (0.003145342547524521, 1), (0.5813470015647022, 1), (0.01012859386035947, 1), (0.010128593863852675, 1), (0.01782377123425105, 1), (0.017793832150943434, 1), (0.01012859391663623, 1), (0.010128593860988744, 1), (0.019822444391775385, 1), (0.010128593856458146, 1)]",Glycolysis/Gluconeogenesis,phosphoglycerate kinase,['Rv1437'],3pg_c + atp_c <=> 13dpg_c + adp_c,
BDH,0.8310017340378053,0.36364481374981616,"[(0.9953232780187509, 114), (0.9953236230878855, 4), (0.9953229329496163, 3), (0.9953239681570201, 2), (0.9949374907262668, 1), (0.9950746557072707, 1), (0.9913493291342694, 1), (0.9953660665914414, 1), (0.8579115643128816, 1), (0.9959178321376686, 1), (0.9947083648208916, 1), (0.995385390462979, 1), (0.9893915395949576, 1), (0.9953297850579532, 1), (0.0, 1)]",Pyruvate Metabolism,BDH,[],bhb_c + nad_c <=> acac_c + h_c + nadh_c,
MCBTS2,0.8034651036812412,0.37169117347564484,"[(0.0011314180429106333, 129), (0.001604164363644765, 1), (0.00868048514254135, 1), (0.13164609184474899, 1), (0.0, 1), (1.0, 1)]",Membrane Metabolism,MCBTS2,"['Rv2383c', 'Rv2379c', 'Rv2381c', 'Rv2384', 'Rv2382c', 'Rv2378c', 'Rv2380c']",atp_c + bhb_c + 2.0 h_c + 2.0 lys__L_c + 2.0 o2_c + odecoa_c + salc_c + ser__L_c --> adp_c + co2_c + coa_c + 6.0 h2o_c + mcbtt_c + pi_c,
PPND,0.7503869554813247,0.38792554816532265,"[(0.4984668620408896, 85), (1.0, 33), (0.005165414985198881, 4), (0.0, 2), (0.005165414976155858, 2), (0.005165415015762592, 1), (0.005165414985194541, 1), (0.005165414985190537, 1), (0.005165414980002732, 1), (0.005165414985199686, 1), (0.005165414976686423, 1), (0.005165414985260654, 1), (0.49846686204088947, 1)]","Tyrosine, Tryptophan, and Phenylalanine Metabolism",Prephenate dehydrogenase,['Rv3754'],nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c,
TYRTA,0.7503869554812789,0.3879255481653414,"[(0.5015331379591106, 86), (0.0, 33), (0.9948345850148012, 4), (1.0, 2), (0.9948345850238443, 2), (0.9948345849842375, 1), (0.9948345850148055, 1), (0.9948345850148095, 1), (0.9948345850199973, 1), (0.9948345850148004, 1), (0.9948345850233137, 1), (0.9948345850147394, 1)]",Other Amino Acid Metabolism,tyrosine transaminase,"['Rv3565', 'Rv0337c']",akg_c + tyr__L_c <=> 34hpp_c + glu__L_c,['Rv3565']
TYRt2r,0.7485593822162877,0.3885024065989462,"[(1.0, 15), (0.5058477190786956, 13), (0.5058477190786953, 10), (0.003449549441591704, 7), (0.5058477190786872, 4), (0.505847719070164, 4), (0.003449549441583488, 3), (0.5058477190704931, 3), (0.003449549471902902, 2), (0.5058477191090067, 2), (0.5058477190786974, 2), (0.5058477190786873, 2), (0.5058477190734905, 2), (0.5058477190786952, 2), (0.003449549441591482, 2), (0.5058477190787214, 1), (0.0034495494375381686, 1), (0.0034495494415837102, 1), (0.5058477190705062, 1), (0.5058477190755457, 1), (0.5058477190775192, 1), (0.0034495494300611496, 1), (0.5058477190787166, 1), (0.003449549441573163, 1), (0.5058477190786332, 1), (0.5058477190797341, 1), (0.5058477190786641, 1), (0.5058477190786959, 1), (0.500673394916296, 1), (0.0034495494478413713, 1), (0.003449549441641775, 1), (0.5058477190787304, 1), (0.5058477191080091, 1), (0.5058477190721673, 1), (0.5058477190787284, 1), (0.003449549441582711, 1), (0.5058477190786883, 1), (0.5058477190786784, 1), (0.5058477190789242, 1), (0.5058477190787731, 1), (0.0034495494363792067, 1), (0.5058477190787045, 1), (0.003449549430062482, 1), (0.0034495494416092454, 1), (0.003449549441578492, 1), (0.5058477190701653, 1), (0.0034495494415262007, 1), (0.5058477190714237, 1), (0.5058477190704949, 1), (0.5058477190786181, 1), (0.5058477190829481, 1), (0.5058477190787485, 1), (0.0034495494326788334, 1), (0.5058477190786894, 1), (0.5058477190728758, 1), (0.5058477190734278, 1), (0.0034495494363867563, 1), (0.505847719078786, 1), (0.505847719067166, 1), (0.505847719078736, 1), (0.0034495494363865342, 1), (0.5058477191090087, 1), (0.5058477190786996, 1), (0.505847719073491, 1), (0.5058477190771357, 1), (0.5058477190749331, 1), (0.5058477191186461, 1), (0.5058477190671665, 1), (0.003449549441612687, 1), (0.0034495494332914545, 1), (0.5058477190704964, 1), (0.0, 1), (0.5058477190767201, 1), (0.5058477190787134, 1), (0.003449549440323496, 1), (0.5058477191759012, 1)]",Transport,L-tyrosine reversible transport via proton symport,[],h_e + tyr__L_e <=> h_c + tyr__L_c,
EX_tyr_L,0.7485593822162081,0.38850240659896973,"[(0.0, 15), (0.4941522809213043, 13), (0.4941522809213046, 10), (0.9965504505584081, 7), (0.4941522809213127, 4), (0.494152280929836, 4), (0.9965504505584163, 3), (0.49415228092950697, 3), (0.9965504505280971, 2), (0.49415228092130264, 2), (0.4941522809213126, 2), (0.4941522809265095, 2), (0.4941522809213047, 2), (0.9965504505584083, 2), (0.9965504505636132, 2), (0.4941522809212785, 1), (0.9965504505624616, 1), (0.9965504505584162, 1), (0.49415228092949365, 1), (0.49415228092445423, 1), (0.4941522809224808, 1), (0.9965504505699386, 1), (0.4941522808909933, 1), (0.49415228092128327, 1), (0.9965504505584266, 1), (0.4941522809213667, 1), (0.4941522809202659, 1), (0.49415228092133573, 1), (0.4941522809213041, 1), (0.4993266050837039, 1), (0.9965504505521584, 1), (0.9965504505583582, 1), (0.4941522809212695, 1), (0.4941522808919908, 1), (0.4941522809278326, 1), (0.4941522809212716, 1), (0.49415228089099317, 1), (0.9965504505584171, 1), (0.49415228092131164, 1), (0.4941522809213215, 1), (0.49415228092107566, 1), (0.4941522809212269, 1), (0.9965504505636208, 1), (0.49415228092129543, 1), (0.9965504505699373, 1), (0.9965504505583905, 1), (0.9965504505584213, 1), (0.49415228092983465, 1), (0.9965504505584737, 1), (0.49415228092857627, 1), (0.49415228092950503, 1), (0.49415228092138186, 1), (0.4941522809170519, 1), (0.49415228092125146, 1), (0.996550450567321, 1), (0.4941522809213106, 1), (0.4941522809271242, 1), (0.49415228092657204, 1), (0.494152280921214, 1), (0.49415228093283387, 1), (0.4941522809212638, 1), (0.4941522808909912, 1), (0.49415228092130026, 1), (0.494152280926509, 1), (0.49415228092286423, 1), (0.49415228092506686, 1), (0.4941522808813538, 1), (0.49415228093283337, 1), (0.9965504505583873, 1), (0.9965504505667085, 1), (0.49415228092950353, 1), (1.0, 1), (0.49415228092327984, 1), (0.49415228092128655, 1), (0.9965504505596765, 1), (0.4941522808240988, 1)]",Exchange,,[],tyr__L_e --> ,
NH4OHDs,0.7423072831958257,0.39048518564321877,"[(9.216360333159605e-15, 126), (0.00890288336048382, 1), (0.02215351774681656, 1), (0.008902883360753346, 1), (0.06208774578364409, 1), (0.0, 1), (0.022153517746471445, 1), (1.0, 1), (0.022153517740600277, 1)]",Other Amino Acid Metabolism,NH4OH dissociation,[],h_c + nh4oh_c <=> h2o_c + nh4_c,
NTRIRx,0.7423072831958046,0.3904851856432282,"[(0.0, 127), (0.008902883360474685, 1), (0.022153517746807794, 1), (0.008902883360743704, 1), (0.06208774578363544, 1), (0.02215351774646243, 1), (1.0, 1), (0.022153517740591266, 1)]",Cofactor and Prosthetic Group Biosynthesis,nitrite reductase (NADH),"['Rv0252', 'Rv0253']",4.0 h_c + 3.0 nadh_c + no2_c --> h2o_c + 3.0 nad_c + nh4oh_c,
PLCD,0.7409089344797427,0.39093064885358664,"[(0.9583960682770393, 131), (1.0, 1), (0.0, 1), (0.9584943964041145, 1)]",Fatty Acid Metabolism,PLCD,['Rv1755c'],h2o_c + ptd1ino160_c --> 12dgr160_c + h_c + mi1p__D_c,
CHORM,0.7108557040790988,0.4006850797522895,"[(0.4767215939574902, 85), (1.0, 33), (0.0, 1), (0.0023538940596098956, 1), (1.4511780666026652e-11, 1), (1.4510753709728874e-11, 1), (1.6858972551325735e-11, 1), (1.6431814242601206e-11, 1), (1.862730802937307e-11, 1), (0.002353894061692119, 1), (1.8611889807118587e-11, 1), (1.9756127289660697e-11, 1), (1.958828932391299e-11, 1), (1.4464651698631315e-11, 1), (0.47672159395770225, 1), (7.467262919114148e-12, 1), (1.0813488993122178e-11, 1), (1.2242193370148868e-11, 1)]","Tyrosine, Tryptophan, and Phenylalanine Metabolism",chorismate mutase,"['Rv0948c', 'Rv1885c']",chor_c --> pphn_c,
CYSTS,0.7048815535406283,0.4026662717054559,"[(0.9992702106321727, 1), (0.9999986415002535, 1), (0.9999986137070928, 1), (0.9999986406256323, 1), (0.9999986148703287, 1), (0.9999986406243656, 1), (0.9999996818214818, 1), (0.9999986413303908, 1), (0.9999986134803177, 1), (0.9992699611967155, 1), (0.9999986408487825, 1), (0.9999986412296622, 1), (0.9999986414559769, 1), (0.9999986401823044, 1), (0.8006812280735478, 1), (0.9992702107283652, 1), (0.9999986409489943, 1), (0.9999986411768975, 1), (0.9999986415010684, 1), (0.9999986406226956, 1), (0.9999986423395697, 1), (0.9999986411758471, 1), (0.9999986415013592, 1), (0.9992702105215352, 1), (0.999998640953252, 1), (0.999998640949474, 1), (0.8014096597894712, 1), (0.9999986415001783, 1), (0.9999986417486749, 1), (0.9999986411763053, 1), (0.9999986409516126, 1), (0.9999986134799992, 1), (0.9999986409487803, 1), (0.9999986415018713, 1), (0.9999986423657671, 1), (0.9999986423391192, 1), (0.9999986404547463, 1), (0.9999986134836759, 1), (0.9999986134841649, 1), (0.9999986411764147, 1), (0.9999986138335334, 1), (0.9999986134802561, 1), (0.9999986415020065, 1), (0.9999986409478888, 1), (0.9999986134802447, 1), (1.0, 1), (0.9999986411612943, 1), (0.9999986415005394, 1), (0.9992702092424056, 1), (0.9999986415010972, 1), (0.999998640949364, 1), (0.9999986411771554, 1), (0.9999986137065362, 1), (0.999998641175878, 1), (0.9999986406153898, 1), (0.9999986415082732, 1), (0.9999986409494666, 1), (0.9999986413035133, 1), (0.9999986131655132, 1), (0.9992702085743522, 1), (0.9999986406262734, 1), (0.9999986397376786, 1), (0.9999986414993554, 1), (0.999998641501793, 1), (0.9999986406245059, 1), (0.9999986408475868, 1), (0.9999986411746408, 1), (0.999998641373953, 1), (0.9999986394120709, 1), (0.8014096610310887, 1), (0.9999986413313436, 1), (0.9999986134802663, 1), (0.9999986411131276, 1), (0.9999986410649129, 1), (0.9999986408404935, 1), (0.999998641500547, 1), (0.9999986408411863, 1), (0.9999986409360191, 1), (0.9999986406374562, 1), (0.9999986406235757, 1), (0.9999986415021862, 1), (0.9999986409500258, 1), (0.999998641501057, 1), (0.9999986406241188, 1), (0.9999986130412339, 1), (0.9999986414996941, 1), (0.9999986415005429, 1), (0.9999986140318281, 1), (0.9999986406224182, 1), (0.9999986409039999, 1), (0.9999986415012786, 1), (0.9999986413016485, 1), (0.9999986413013501, 1), (0.9999986413012273, 1), (0.999998641180998, 1), (0.9999986133823034, 1), (0.9999986401742793, 1), (0.9999986414997725, 1), (0.9999986413011371, 1), (0.9992702104043323, 1), (0.9999986415019295, 1), (0.9999986413014618, 1), (0.9999986411161551, 1), (0.9999986410321946, 1), (0.9999986415003376, 1), (0.9999986415011227, 1), (0.9999986450782817, 1), (0.9992702094615491, 1), (0.99999864115252, 1), (0.9999986401737989, 1), (0.9999986408496156, 1), (0.9999986131553559, 1), (0.9999986406342983, 1), (0.9999986408578025, 1), (0.9999986134803233, 1), (0.9999986406343563, 1), (0.9999986424173999, 1), (0.9999986414997099, 1), (0.9999986133886843, 1), (0.9999986411758899, 1), (0.9999986415010231, 1), (0.9999986409491812, 1), (0.9999986411762447, 1), (0.9992702089225644, 1), (0.0, 1), (0.9999986140319125, 1), (0.999998641424446, 1), (0.9999986409496304, 1), (0.9999986414623474, 1), (0.9999986443594446, 1), (0.9999986354941239, 1), (0.9999986411758708, 1), (0.9999986414169355, 1), (0.9999986408488937, 1)]",Cysteine and methionine metabolism,cystathionine beta-synthase,['Rv1077'],hcys__L_c + ser__L_c --> cyst__L_c + h2o_c,
