"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"new column"	"Pathways of gene"	"Pathways of enzyme"	"Reactions of gene"	"Pathways of a reaction"
"ileT"		10887	10960	"tRNA-Ile"		"tRNA processing" // "tRNA charging"	""	""	""
G185E-7311	"Rv3050c"	3411217	3411957	"probable transcriptional regulatory protein (probably AsnC-family)"		""	""	""	""
"upp"	"Rv3309c"	3696470	3697093	"probable uracil phosphoribosyltransferase"		"superpathway of pyrimidine nucleobases salvage" // "pyrimidine nucleobases salvage I"	"superpathway of pyrimidine nucleobases salvage" // "pyrimidine nucleobases salvage I"	URACIL-PRIBOSYLTRANS-RXN	"pyrimidine nucleobases salvage I"
G185E-4205	"Rv0088"	96927	97601	"possible polyketide cyclase/dehydrase"		""	""	""	""
"ceoB"	"Rv2691"	3009344	3010027	"TRK system potassium uptake protein"		""	""	TRANS-RXN-185	""
"mmpL6"	"Rv1557"	1761744	1762937	"probable conserved transmembrane transport protein"		""	""	""	""
G185E-5316	"Rv1149"	1277893	1278300	"possible transposase"		""	""	RXN0-5131	""
G185E-5011	"Rv0857"	953257	953730	"conserved hypothetical protein"		""	""	""	""
G185E-4634	"Rv0502"	592791	593867	"conserved protein"		""	""	""	""
G185E-7235	"Rv2980"	3335960	3336505	"possible conserved secreted protein"		""	""	""	""
"mez"	"Rv2332"	2605108	2606754	"probable [NAD] dependent malate oxidoreductase"		"glyoxylate cycle" // "mixed acid fermentation" // "TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)" // "gluconeogenesis I" // "L-malate degradation II"	"glyoxylate cycle" // "mixed acid fermentation" // "TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)" // "gluconeogenesis I" // "L-malate degradation II"	MALIC-NADP-RXN // MALATE-DEHYDROGENASE-NADP+-RXN // 1.1.1.39-RXN // MALATE-DEH-RXN // OXALODECARB-RXN	"gluconeogenesis I" // "" // "L-malate degradation II" // "TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)" // "mixed acid fermentation" // "glyoxylate cycle"
"PPE34"	"Rv1917c"	2162932	2167311	"PPE family protein PPE34"		""	""	""	""
G185E-5370	"Rv1200"	1342942	1344219	"probable conserved integral membrane transport protein"		""	""	""	""
"Rv3031"	"Rv3031"	3389922	3391502	"Probable 1,4-alpha-glucan branching enzyme Rv3031"		""	""	""	""
G185E-4939	"Rv0790c"	884072	884800	"hypothetical protein"		""	""	""	""
G185E-5781	"Rv1593c"	1793997	1794707	"conserved protein"		""	""	""	""
"parE1"	"Rv1959c"	2203681	2203977	"possible toxin"		""	""	""	""
G185E-4262	"Rv0145"	171215	172168	"possible S-adenosylmethionine-dependent methyltransferase"		""	""	""	""
"moeA2"	"Rv0438c"	526143	527360	"molybdopterin molybdenumtransferase 2"		"molybdenum cofactor biosynthesis"	"molybdenum cofactor biosynthesis"	RXN-8348	"molybdenum cofactor biosynthesis"
G185E-6026	"Rv1831"	2075571	2075828	"hypothetical protein"		""	""	""	""
"metT"		731603	731676	"tRNA-Met"		"tRNA processing" // "tRNA charging"	""	""	""
G185E-6865	"Rv2621c"	2947884	2948558	"possible transcriptional regulatory protein"		""	""	""	""
G185E-4123	"Rv0010c"	13133	13558	"probable conserved membrane protein"		""	""	""	""
"Rv3659c"	"Rv3659c"	4096936	4097994	"Putative conjugal transfer protein Rv3659c"		""	""	""	""
"trxB1"	"Rv1471"	1659370	1659741	"probable thioredoxin"		""	""	""	""
G185E-4198	"Rv0081"	89575	89919	"probable transcriptional regulatory protein"		""	""	""	""
"lytB1"	"Rv3382c"	3796448	3797437	"probable LYTB-related protein"		""	""	RXN0-884 // ISPH2-RXN	""
G185E-8032	"Rv3742c"	4192850	4193245	"possible oxidoreductase"		""	""	""	""
"ribD"	"Rv2671"	2986839	2987615	"possible bifunctional enzyme riboflavin biosynthesis protein RibD: diaminohydroxyphosphoribosylaminopyrimidine deaminase (riboflavin-specific deaminase) + 5-amino-6-(5-phosphoribosylamino)uracil reductase (HTP reductase)"		""	""	""	""
G185E-7624	"Rv3348"	3753765	3754256	"probable transposase"		""	""	RXN0-5131	""
"metU"		3559370	3559443	"tRNA-Met"		"tRNA processing" // "tRNA charging"	""	""	""
G185E-4613	"Rv0485"	573984	575300	"possible transcriptional regulatory protein"		""	""	""	""
"metV"		2581764	2581837	"tRNA-Met"		"tRNA processing" // "tRNA charging"	""	""	""
"ponA1"	"Rv0050"	53663	55699	"probable bifunctional penicillin-binding protein 1A/1B"		"peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)"	"peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)"	3.4.17.8-RXN // RXN-19256 // RXN-19253 // RXN-19249 // RXN-16650 // "peptidoglycan transpeptidase (Gram-negative bacteria)" // RXN-16649 // 3.4.16.4-RXN // "peptidoglycan transpeptidase (Gram-negative bacteria)"	"" // "peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)"
"alaT"		11112	11184	"tRNA-Ala"		"tRNA processing" // "tRNA charging"	""	""	""
"alaU"		3431840	3431912	"tRNA-Ala"		"tRNA processing" // "tRNA charging"	""	""	""
"rfbD"	"Rv3783"	4229258	4230100	"probable O-antigen/lipopolysaccharide transport integral membrane protein ABC transporter"		""	""	TRANS-RXN185E-29 // TRANS-RXN185E-28	""
G185E-4991	"Rv0837c"	933003	934031	"hypothetical protein"		""	""	""	""
"alaV"		1113511	1113583	"tRNA-Ala"		"tRNA processing" // "tRNA charging"	""	""	""
"trpT"		733524	733596	"tRNA-Trp"		"tRNA processing" // "tRNA charging"	""	""	""
G185E-7701	"Rv3424c"	3841714	3842076	"hypothetical protein"		""	""	""	""
G185E-6537	"Rv2313c"	2585052	2585906	"hypothetical protein"		""	""	""	""
"cysU"		2969855	2969925	"tRNA-Cys"		"tRNA processing" // "tRNA charging"	""	""	""
"hisT"		2827854	2827926	"tRNA-His"		"tRNA processing" // "tRNA charging"	""	""	""
"lysU"		2835494	2835566	"tRNA-Lys"		"tRNA processing" // "tRNA charging"	""	""	""
G185E-6486	"Rv2269c"	2544289	2544621	"hypothetical protein"		""	""	""	""
"sugA"	"Rv1236"	1378927	1379850	"probable sugar-transport integral membrane protein ABC transporter SugA"		""	""	TRANS-RXN185E-17	""
"fadD11"	"Rv1550"	1753716	1755431	"probable fatty-acid-CoA ligase"		"fatty acid &beta;-oxidation I" // "palmitate biosynthesis II (bacteria and plants)" // "octane oxidation" // "superpathway of mycolate biosynthesis" // "stearate biosynthesis II (bacteria and plants)"	"fatty acid &beta;-oxidation I" // "palmitate biosynthesis II (bacteria and plants)" // "octane oxidation" // "superpathway of mycolate biosynthesis" // "stearate biosynthesis II (bacteria and plants)"	RXN-19751 // TRANS-RXN0-623 // RXN0-7248 // RXN0-7239 // RXN0-7238 // "straight chain (<i>R</i>)-2-hydroxy fatty acyl-CoA ligase" // "2,3,4-saturated fatty acyl-CoA synthetase" // RXN-9623 // RXN-9644 // RXN-13614 // RXN-16393 // "straight chain fatty acyl-CoA ligase" // RXN-16401 // "phytenoyl-CoA synthetase" // "3-methyl-branched fatty acyl-CoA ligase" // RXN-9673 // RXN-16415 // RXN-12184 // RXN-16418 // "octanoyl-CoA ligase" // RXN66-484 // RXN66-483 // RXN-16380 // "15-tetracosenoate&mdash;CoA ligase" // RXN-16389 // LINOLENOYL-RXN // RXN-12978 // RXN-16402	"" // "fatty acid &beta;-oxidation I" // "palmitate biosynthesis II (bacteria and plants)" // "octane oxidation" // "stearate biosynthesis II (bacteria and plants)"
"pepA"	"Rv0125"	151148	152215	"probable serine protease"		""	""	""	""
G185E-6086	"Rv1890c"	2139076	2139687	"hypothetical protein"		""	""	""	""
"lhr"	"Rv3296"	3676775	3681316	"probable ATP-dependent helicase"		""	""	""	""
G185E-6955	"Rv2707"	3020573	3021547	"probable conserved transmembrane alanine and leucine rich protein"		""	""	""	""
G185E-7327	"Rv3066"	3430707	3431315	"probable transcriptional regulatory protein (probably DeoR-family)"		""	""	""	""
"ribA1"	"Rv1940"	2192606	2193667	"probable riboflavin biosynthesis protein"		"flavin biosynthesis I (bacteria and plants)"	"flavin biosynthesis I (bacteria and plants)"	GTP-CYCLOHYDRO-II-RXN	"flavin biosynthesis I (bacteria and plants)"
G185E-5704	"Rv1516c"	1707529	1708539	"probable sugar transferase"		""	""	""	""
G185E-8003	"Rv3716c"	4160512	4160913	"nucleoid-associated protein Rv3716c"		""	""	""	""
"fadD36"	"Rv1193"	1335794	1337215	"fatty acid-coenzyme A ligase"		"stearate biosynthesis II (bacteria and plants)" // "octane oxidation" // "superpathway of mycolate biosynthesis" // "palmitate biosynthesis II (bacteria and plants)" // "fatty acid &beta;-oxidation I"	"stearate biosynthesis II (bacteria and plants)" // "octane oxidation" // "superpathway of mycolate biosynthesis" // "palmitate biosynthesis II (bacteria and plants)" // "fatty acid &beta;-oxidation I"	RXN-16402 // RXN-12978 // LINOLENOYL-RXN // RXN-16389 // RXN-16418 // "15-tetracosenoate&mdash;CoA ligase" // RXN-16415 // "phytenoyl-CoA synthetase" // RXN-16401 // RXN66-484 // RXN-9644 // RXN-13614 // RXN-9623 // RXN-12184 // RXN-9673 // "octanoyl-CoA ligase" // RXN-16393 // RXN-16380 // RXN66-483 // "3-methyl-branched fatty acyl-CoA ligase" // "straight chain (<i>R</i>)-2-hydroxy fatty acyl-CoA ligase" // "straight chain fatty acyl-CoA ligase" // "2,3,4-saturated fatty acyl-CoA synthetase"	"" // "palmitate biosynthesis II (bacteria and plants)" // "octane oxidation" // "stearate biosynthesis II (bacteria and plants)" // "fatty acid &beta;-oxidation I"
G185E-7631	"Rv3355c"	3769514	3769807	"probable integral membrane protein"		""	""	""	""
"pimE"	"Rv1159"	1284992	1286287	"phosphatidylinositol tetramannoside &alpha;-(1-2)-mannosyltransferase"		"phosphatidylinositol mannoside biosynthesis"	"phosphatidylinositol mannoside biosynthesis"	RXN-18682	"phosphatidylinositol mannoside biosynthesis"
"xseB"	"Rv1107c"	1233966	1234223	"probable exodeoxyribonuclease VII (small subunit)"		""	""	3.1.11.6-RXN	""
"tcrX"	"Rv3765c"	4211080	4211784	"probable two component transcriptional regulatory protein"		""	""	""	""
"lysT"		923803	923875	"tRNA-Lys"		"tRNA processing" // "tRNA charging"	""	""	""
"PE29"	"Rv3022A"	3380679	3380993	"PE family protein PE29"		""	""	""	""
"proT"		1946613	1946686	"tRNA-Pro"		"tRNA processing" // "tRNA charging"	""	""	""
G185E-4980	"Rv0830"	921970	922875	"possible S-adenosylmethionine-dependent methyltransferase"		""	""	""	""
"proY"		4126541	4126614	"tRNA-Pro"		"tRNA processing" // "tRNA charging"	""	""	""
G185E-6912	"Rv2664"	2982097	2982351	"hypothetical protein"		""	""	""	""
"proU"		2765331	2765404	"tRNA-Pro"		"tRNA processing" // "tRNA charging"	""	""	""
"rrs"		1471846	1473382	"Ribosomal RNA 16S"		""	""	""	""
G185E-6210	"Rv2008c"	2256617	2257942	"conserved hypothetical protein"		""	""	""	""
"fadE10"	"Rv0873"	970505	972457	"probable acyl-CoA dehydrogenase"		"fatty acid &beta;-oxidation I"	"fatty acid &beta;-oxidation I"	RXN-17783 // RXN-17796 // RXN-17792 // RXN-17775 // RXN-17779 // RXN-17784 // RXN-17788 // ACYLCOADEHYDROG-RXN	"" // "fatty acid &beta;-oxidation I"
"rrf"		1476899	1477013	"Ribosomal RNA 5S"		""	""	""	""
G185E-4171	"Rv0057"	59896	60417	"hypothetical protein"		""	""	""	""
"rrl"		1473658	1476795	"Ribosomal RNA 23S"		""	""	""	""
"drrC"	"Rv2938"	3274072	3274902	"probable daunorubicin-dim-transport integral membrane protein ABC transporter"		""	""	TRANS-RXN185E-16	""
"deoC"	"Rv0478"	567222	567896	"probable deoxyribose-phosphate aldolase"		"superpathway of pyrimidine deoxyribonucleosides degradation" // "superpathway of purine deoxyribonucleosides degradation" // "2'-deoxy-&alpha;-D-ribose 1-phosphate degradation"	"superpathway of pyrimidine deoxyribonucleosides degradation" // "superpathway of purine deoxyribonucleosides degradation" // "2'-deoxy-&alpha;-D-ribose 1-phosphate degradation"	DEOXYRIBOSE-P-ALD-RXN	"2'-deoxy-&alpha;-D-ribose 1-phosphate degradation"
G185E-7681	"Rv3404c"	3823880	3824584	"sugar <i>N</i>-formyltransferase subunit"		""	""	RXN-19790	""
G185E-7244	"Rv2989"	3346147	3346848	"probable transcriptional regulatory protein"		""	""	""	""
G185E-4650	"Rv0518"	610188	610883	"possible exported protein"		""	""	""	""
G185E-5711	"Rv1523"	1717653	1718696	"probable methyltransferase"		""	""	""	""
G185E-8132	"Rv3836"	4310401	4310814	"conserved hypothetical protein"		""	""	""	""
"PE4"	"Rv0160c"	188931	190439	"PE family protein PE4"		""	""	""	""
G185E-6574	"Rv2348c"	2626654	2626980	"hypothetical protein"		""	""	""	""
"Rv2630"	"Rv2630"	2956893	2957432	"Probable protein archease"		""	""	""	""
"typA"	"Rv1165"	1294168	1296054	"possible GTP-binding translation elongation factor"		""	""	""	""
G185E-5761	"Rv1573"	1779314	1779724	"probable PhiRv1 phage protein"		""	""	""	""
G185E-5386	"Rv1216c"	1359472	1360146	"probable conserved integral membrane protein"		""	""	""	""
G185E-6529	"Rv2307D"	2580028	2580210	"hypothetical protein"		""	""	""	""
"kgtP"	"Rv3476c"	3892371	3893720	"probable dicarboxylic acid transport integral membrane protein"		""	""	TRANS-RXN185E-4 // TRANS-RXN185E-9	""
"oxcA"	"Rv0118c"	142128	143876	"probable oxalyl-CoA decarboxylase"		""	""	OXALYL-COA-DECARBOXYLASE-RXN	""
G185E-6173	"Rv1974"	2217659	2218036	"probable conserved membrane protein"		""	""	""	""
G185E-7307	"Rv3046c"	3407314	3407688	"conserved protein"		""	""	""	""
"ufaA1"	"Rv0447c"	535224	536507	"probable cyclopropane-fatty-acyl-phospholipid synthase"		"cyclopropane fatty acid (CFA) biosynthesis" // "superpathway of mycolate biosynthesis" // "mycolate biosynthesis"	"cyclopropane fatty acid (CFA) biosynthesis" // "superpathway of mycolate biosynthesis" // "mycolate biosynthesis"	2.1.1.79-RXN // RXN-7421 // "cis-cyclopropane-&Delta;19-37-hydroxy-38-methyl-C57:1-[acp] synthase" // "cis-&Delta;21-39-hydroxy-40-methyl-C59:1-[acp] reductase"	"cyclopropane fatty acid (CFA) biosynthesis" // "" // "mycolate biosynthesis"
"accD4"	"Rv3799c"	4254380	4255948	"propionyl-CoA carboxylase beta chain 4"		"superpathway of mycolate biosynthesis" // "mycolate biosynthesis"	"superpathway of mycolate biosynthesis" // "mycolate biosynthesis"	RXN1G-4355	"mycolate biosynthesis"
G185E-6935	"Rv2687c"	3004035	3004748	"antibiotic-transport integral membrane leucine and valine rich protein ABC transporter"		""	""	TRANS-RXN185E-16	""
G185E-6495	"Rv2277c"	2549124	2550029	"possible glycerolphosphodiesterase"		"glycerol and glycerophosphodiester degradation" // "glycerophosphodiester degradation"	"glycerol and glycerophosphodiester degradation" // "glycerophosphodiester degradation"	"glycerophosphorylethanolamine phosphodiesterase" // RXN-14136 // RXN-14073 // GLYCPDIESTER-RXN	"" // "glycerophosphodiester degradation"
"tsnR"	"Rv1644"	1853606	1854388	"possible 23S rRNA methyltransferase"		""	""	""	""
G185E-7717	"Rv3440c"	3859665	3859976	"hypothetical protein"		""	""	""	""
"trpE"	"Rv1609"	1807903	1809453	"anthranilate synthase component I"		"superpathway of L-tryptophan biosynthesis" // "L-tryptophan biosynthesis"	""	ANTHRANSYN-RXN	"L-tryptophan biosynthesis"
"serA1"	"Rv2996c"	3353483	3355069	"probable D-3-phosphoglycerate dehydrogenase"		"superpathway of sulfate assimilation and cysteine biosynthesis" // "superpathway of L-serine and glycine biosynthesis I" // "L-serine biosynthesis I"	"superpathway of sulfate assimilation and cysteine biosynthesis" // "superpathway of L-serine and glycine biosynthesis I" // "L-serine biosynthesis I"	PGLYCDEHYDROG-RXN	"L-serine biosynthesis I"
"fadE18"	"Rv1933c"	2183866	2184957	"probable acyl-CoA dehydrogenase"		"fatty acid &beta;-oxidation I"	"fatty acid &beta;-oxidation I"	RXN-17783 // RXN-17796 // RXN-17792 // RXN-17775 // RXN-17779 // RXN-17784 // RXN-17788 // ACYLCOADEHYDROG-RXN	"" // "fatty acid &beta;-oxidation I"
"vapB31"	"Rv0748"	840947	841204	"possible antitoxin"		""	""	""	""
G185E-5460	"Rv1288"	1441348	1442718	"conserved protein"		""	""	""	""
"lppD"	"Rv1899c"	2145214	2146245	"possible lipoprotein"		""	""	""	""
"proV"	"Rv3758c"	4203287	4204417	"possible osmoprotectant (glycine betaine/carnitine/choline/L-proline) transport ATP-binding protein ABC transporter"		""	""	TRANS-RXN185E-24 // TRANS-RXN185E-23 // TRANS-RXN185E-22 // TRANS-RXN185E-21	""
"pdc"	"Rv0853c"	949436	951118	"probable pyruvate or indole-3-pyruvate decarboxylase"		"pyruvate fermentation to ethanol II"	"pyruvate fermentation to ethanol II"	RXN-6161 // 4.1.1.74-RXN	"pyruvate fermentation to ethanol II" // ""
"dhaA"	"Rv2579"	2903639	2904541	"possible haloalkane dehalogenase"		""	""	HALOALKANE-DEHALOGENASE-RXN	""
"cut5b"	"Rv3724B"	4169606	4170169	"probable cutinase [second part]"		""	""	3.1.1.74-RXN	""
"phyA"	"Rv3397c"	3814090	3814998	"probable phytoene synthase"		""	""	RXN-13323 // RXNARA-8002 // 2.5.1.32-RXN	""
"Rv3364c"	"Rv3364c"	3774482	3774874	"Serine protease inhibitor Rv3364c"		""	""	""	""
"lprE"	"Rv1252c"	1399296	1399904	"probable lipoprotein"		""	""	""	""
G185E-4214	"Rv0097"	106734	107603	"possible oxidoreductase"		""	""	""	""
"proC"	"Rv0500"	590083	590970	"probable pyrroline-5-carboxylate reductase"		"L-proline biosynthesis I" // "L-proline biosynthesis III"	"L-proline biosynthesis I" // "L-proline biosynthesis III"	PYRROLINECARBREDUCT-RXN // RXN66-546	"L-proline biosynthesis III" // "L-proline biosynthesis I" // ""
"vapC1"	"Rv0065"	71821	72222	"possible toxin"		""	""	""	""
"virS"	"Rv3082c"	3447404	3448426	"virulence-regulating transcriptional regulator"		""	""	""	""
G185E-5720	"Rv1532c"	1733116	1733550	"conserved hypothetical protein"		""	""	""	""
"narK1"	"Rv2329c"	2601914	2603461	"probable nitrite extrusion protein 1"		""	""	""	""
G185E-5754	"Rv1566c"	1773928	1774620	"possible Inv protein"		""	""	""	""
"cysA3"	"Rv3117"	3483974	3484807	"probable thiosulfate sulfurtransferase"		"thiosulfate disproportionation IV (rhodanese)"	"thiosulfate disproportionation IV (rhodanese)"	RXN-19040 // THIOSULFATE-SULFURTRANSFERASE-RXN // RXN0-6385 // RXN0-6359	"" // "thiosulfate disproportionation IV (rhodanese)"
"TB8.4"	"Rv1174c"	1305669	1306001	"low molecular weight T-cell antigen"		""	""	""	""
G185E-4258	"Rv0141c"	167271	167681	"unknown protein"		""	""	""	""
G185E-5379	"Rv1209"	1353157	1353525	"conserved protein"		""	""	""	""
"cfp6"	"Rv3004"	3363348	3363686	"low molecular weight protein antigen 6 (CFP-6)"		""	""	""	""
"echA17"	"Rv3039c"	3399419	3400183	"probable enoyl-CoA hydratase"		"superpathway of cholesterol degradation II (cholesterol dehydrogenase)" // "androstenedione degradation" // "L-valine degradation I" // "fatty acid &beta;-oxidation I"	"superpathway of cholesterol degradation II (cholesterol dehydrogenase)" // "androstenedione degradation" // "L-valine degradation I" // "fatty acid &beta;-oxidation I"	RXN-19802 // "Methylacrylyl-CoA hydratase" // "trans-tetradec-2-enoyl-CoA hydratase" // RXN-17776 // RXN-17793 // RXN-16558 // RXN-16135 // RXN-17114 // "(S)-3-hydroxybutanoyl-CoA dehydrogenase" // RXN-12567 // RXN-13616 // RXN-17797 // ENOYL-COA-HYDRAT-RXN	"androstenedione degradation" // "L-valine degradation I" // "" // "fatty acid &beta;-oxidation I"
"higB"	"Rv1955"	2201719	2202096	"possible toxin"		""	""	""	""
G185E-6894	"Rv2646"	2970551	2971549	"probable integrase"		""	""	""	""
G185E-8075	"Rv3779"	4224985	4226985	"probable conserved transmembrane protein alanine and leucine rich"		""	""	""	""
G185E-6928	"Rv2680"	2996105	2996737	"conserved protein"		""	""	""	""
G185E-4519	"Rv0395"	474940	475344	"hypothetical protein"		""	""	""	""
G185E-6971	"Rv2723"	3034909	3036102	"probable conserved integral membrane protein"		""	""	""	""
G185E-6419	"Rv2209"	2473400	2474938	"probable conserved integral membrane protein"		""	""	""	""
G185E-4961	"Rv0812"	906423	907292	"probable amino acid aminotransferase"		""	""	""	""
G185E-5000	"Rv0846c"	942680	944194	"probable oxidase"		""	""	""	""
"rimI"	"Rv3420c"	3838586	3839062	"ribosomal-protein-alanine acetyltransferase"		""	""	""	""
"dedA"	"Rv2637"	2963586	2964242	"possible transmembrane protein"		""	""	""	""
G185E-4588	"Rv0461"	552026	552550	"probable transmembrane protein"		""	""	""	""
G185E-6511	"Rv2293c"	2564292	2565032	"conserved hypothetical protein"		""	""	""	""
"bioB"	"Rv1589"	1790284	1791333	"probable biotin synthetase"		"biotin biosynthesis from 8-amino-7-oxononanoate I"	"biotin biosynthesis from 8-amino-7-oxononanoate I"	2.8.1.6-RXN // RXN-17472 // RXN-17473	"biotin biosynthesis from 8-amino-7-oxononanoate I" // ""
"vapB21"	"Rv2758c"	3070583	3070849	"possible antitoxin"		""	""	""	""
G185E-4217	"Rv0100"	109783	110019	"conserved hypothetical protein"		""	""	""	""
"citA"	"Rv0889c"	988740	989861	"probable citrate synthase II"		"glyoxylate cycle" // "mixed acid fermentation" // "TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)"	"glyoxylate cycle" // "mixed acid fermentation" // "TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)"	CITSYN-RXN	"TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)" // "mixed acid fermentation" // "glyoxylate cycle"
"purL"	"Rv0803"	895820	898084	"phosphoribosylformylglycinamidine synthase II"		"superpathway of 5-aminoimidazole ribonucleotide biosynthesis" // "5-aminoimidazole ribonucleotide biosynthesis I" // "5-aminoimidazole ribonucleotide biosynthesis II"	"superpathway of 5-aminoimidazole ribonucleotide biosynthesis" // "5-aminoimidazole ribonucleotide biosynthesis I" // "5-aminoimidazole ribonucleotide biosynthesis II"	FGAMSYN-RXN	"superpathway of 5-aminoimidazole ribonucleotide biosynthesis" // "5-aminoimidazole ribonucleotide biosynthesis II" // "5-aminoimidazole ribonucleotide biosynthesis I"
"aceAa"	"Rv1915"	2160463	2161566	"probable isocitrate lyase"		"glyoxylate cycle" // "TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)"	"glyoxylate cycle" // "TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)"	ISOCIT-CLEAV-RXN	"TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)" // "glyoxylate cycle"
G185E-5080	"Rv0925c"	1031896	1032633	"conserved protein"		""	""	""	""
G185E-8030	"Rv3740c"	4190833	4192179	"possible triacylglycerol synthase"		""	""	DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN	""
"fabH"	"Rv0533c"	624473	625480	"3-oxoacyl-[acyl carrier protein] synthase III"		"superpathway of mycolate biosynthesis" // "palmitate biosynthesis II (bacteria and plants)" // "fatty acid elongation -- saturated"	"superpathway of mycolate biosynthesis" // "palmitate biosynthesis II (bacteria and plants)" // "fatty acid elongation -- saturated"	RXN-9535 // "3-oxo-octanoyl-[acyl-carrier protein] synthase" // "3-oxo-decanoyl-[acyl-carrier protein] synthase" // "3-oxo-dodecanoyl-[acyl-carrier protein] synthase" // "3-oxo-palmitoyl-[acyl-carrier protein] synthase" // 3-OXOACYL-ACP-SYNTH-RXN // RXN1G-460	"palmitate biosynthesis II (bacteria and plants)" // "fatty acid elongation -- saturated" // ""
G185E-4703	"Rv0569"	661003	661269	"conserved protein"		""	""	""	""
G185E-7656	"Rv3380c"	3795100	3796086	"probable transposase"		""	""	RXN0-5131	""
G185E-4623	"Rv0493c"	583701	584690	"conserved protein"		""	""	""	""
G185E-5403	"Rv1232c"	1374861	1376168	"conserved protein"		""	""	""	""
"rocD1"	"Rv2322c"	2594699	2595364	"probable ornithine aminotransferase (N-terminus part)"		"L-proline biosynthesis III"	"L-proline biosynthesis III"	"Ornithine--oxo-glutarate aminotransferase" // ORNITHINE--OXO-ACID-AMINOTRANSFERASE-RXN	"L-proline biosynthesis III" // ""
"cysW"	"Rv2398c"	2694981	2695799	"probable sulfate-transport integral membrane protein ABC transporter"		""	""	TRANS-RXN185E-13	""
"Rv0079"	"Rv0079"	88204	89025	"Dormancy associated translation inhibitor"		""	""	""	""
G185E-6440	"Rv2228c"	2501644	2502738	"multifunctional protein. Has RNASE H,alpha-ribazole phosphatase, and acid phosphatase activities."		""	""	""	""
"PPE21"	"Rv1548c"	1751297	1753333	"PPE family protein PPE21"		""	""	""	""
"ligB"	"Rv3062"	3425584	3427107	"probable ATP-dependent DNA ligase"		""	""	DNA-LIGASE-ATP-RXN // RXN-17917 // RXN-17918 // RXN-17919	""
G185E-4579	"Rv0454"	544835	545185	"conserved hypothetical protein"		""	""	""	""
G185E-4330	"Rv0210"	250120	251598	"hypothetical protein"		""	""	""	""
"ephF"	"Rv0134"	161771	162673	"possible epoxide hydrolase"		""	""	RXN-12142 // RXN-12140 // RXN-12141 // RXN-12134	""
"lipM"	"Rv2284"	2556145	2557440	"probable esterase"		""	""	""	""
G185E-6227	"Rv2024c"	2268693	2270240	"conserved hypothetical protein"		""	""	""	""
G185E-6146	"Rv1949c"	2199075	2200034	"conserved hypothetical protein"		""	""	""	""
"hisC2"	"Rv3772"	4217134	4218195	"probable histidinol-phosphate aminotransferase"		"L-histidine biosynthesis"	"L-histidine biosynthesis"	HISTAMINOTRANS-RXN	"L-histidine biosynthesis"
"era"	"Rv2364c"	2645771	2646673	"probable GTP-binding protein"		""	""	""	""
G185E-6103	"Rv1906c"	2152425	2152895	"conserved protein"		""	""	""	""
"ligC"	"Rv3731"	4181758	4182834	"possible ATP-dependent DNA ligase"		""	""	DNA-LIGASE-ATP-RXN // RXN-17917 // RXN-17918 // RXN-17919	""
G185E-7690	"Rv3413c"	3832146	3833045	"unknown alanine and proline rich protein"		""	""	""	""
G185E-8150	"Rv3852"	4325074	4325478	"histone-like protein"		""	""	""	""
G185E-7769	"Rv3492c"	3910465	3910947	"conserved hypothetical Mce associated protein"		""	""	""	""
G185E-5360	"Rv1191"	1333931	1334845	"conserved protein"		""	""	""	""
"rplQ"	"Rv3456c"	3876890	3877432	"50S ribosomal protein L17"		""	""	""	""
G185E-4294	"Rv0176"	207452	208420	"probable conserved Mce associated transmembrane protein"		""	""	""	""
"pks10"	"Rv1660"	1874160	1875221	"chalcone synthase"		""	""	RXN-11468 // NARINGENIN-CHALCONE-SYNTHASE-RXN // RXN-7645 // RXN-7825 // RXN-3142	""
"esxR"	"Rv3019c"	3378711	3379001	"secreted ESAT-6 like protein"		""	""	""	""
G185E-7647	"Rv3371"	3784932	3786272	"possible triacylglycerol synthase"		""	""	DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN	""
"ureC"	"Rv1850"	2097961	2099694	"urease alpha subunit"		"urea degradation II"	""	UREASE-RXN	"urea degradation II"
G185E-6910	"Rv2662"	2981482	2981754	"hypothetical protein"		""	""	""	""
G185E-5770	"Rv1582c"	1784497	1785912	"probable PhiRv1 phage protein"		""	""	""	""
"tyrT"		658109	658189	"tRNA-Tyr"		"tRNA processing" // "mycocyclosin biosynthesis" // "tRNA charging"	""	""	""
G185E-4978	"Rv0828c"	921191	921613	"possible deaminase"		""	""	""	""
"Rv1847"	"Rv1847"	2096877	2097299	"Putative esterase Rv1847"		""	""	""	""
